CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,"14,955","14,430","10,95,716",10.79,207.00,-125.45,75,207.00,207.90,150,"24,650.00",150,158.40,159.40,150,73.15,158.65,16.97,"10,38,485","16,639","21,581",
,"40,100","36,600","20,36,092",10.88,178.70,-117.25,150,177.80,178.70,225,"24,700.00",450,179.10,180.00,"2,475",79.60,180.00,16.95,"15,89,335","29,935","52,779",
,"16,590","14,550","8,73,235",11.09,152.00,-111.95,"2,475",152.00,152.60,150,"24,750.00",525,202.95,203.85,75,87.90,203.85,16.94,"4,09,985","5,390","11,715",
,"39,235","26,458","13,27,809",11.16,129.05,-104.60,150,128.60,129.10,600,"24,800.00",300,228.70,229.50,225,95.25,229.35,17.00,"4,54,132","-3,724","25,026",
,"14,867","6,571","7,17,292",11.30,108.90,-95.10,150,107.50,108.20,300,"24,850.00",225,257.85,259.75,150,101.20,256.85,17.26,"78,573","-4,292","6,478",
,"43,981","7,735","10,78,688",11.41,89.75,-88.90,300,89.10,89.65,150,"24,900.00",300,287.90,290.00,750,111.10,286.95,17.41,"1,58,052","-15,596","17,160",
,"15,661","4,329","4,76,651",11.48,74.05,-80.55,150,73.60,74.15,150,"24,950.00",75,320.95,324.75,75,123.25,324.90,17.75,"20,854","-2,037","3,835",
,"1,11,635","54,333","18,08,470",11.45,60.35,-71.40,"2,325",60.00,60.40,150,"25,000.00","1,500",357.85,363.20,225,137.70,363.15,18.08,"1,43,507","-7,495","23,124",
,"17,637","5,997","4,72,035",11.59,49.05,-61.45,75,49.05,49.85,150,"25,050.00",75,395.70,400.75,75,142.75,400.95,18.68,"11,630","-3,051","3,233",
,"64,516",-182,"8,35,950",11.73,40.45,-52.25,75,39.75,40.45,75,"25,100.00",300,435.60,440.45,75,148.00,439.85,18.88,"26,856","-5,857","14,709",
,"25,024","6,335","4,18,859",11.89,32.60,-44.65,150,32.55,32.80,525,"25,150.00",225,478.05,485.25,150,159.75,485.90,19.81,"5,848","-1,372","4,587",
,"84,254","13,323","8,78,392",12.06,26.45,-36.85,75,26.30,26.90,75,"25,200.00",300,518.25,526.95,75,159.40,526.00,20.46,"26,137","-5,226","16,216",
,"23,605","5,738","3,71,754",12.34,22.00,-30.25,375,21.50,22.00,225,"25,250.00",150,566.10,578.95,75,163.05,566.20,20.81,"2,082",-534,"1,903",
,"68,630","17,659","7,30,033",12.42,17.80,-24.75,375,17.35,17.80,375,"25,300.00",150,610.70,625.85,150,169.30,610.10,21.81,"7,446","-1,392","2,272",
,"19,047","2,690","3,26,591",12.76,14.15,-20.75,"2,850",14.15,14.95,450,"25,350.00",150,635.05,671.40,150,173.85,660.25,22.51,373,-66,454,
,"35,023","5,208","5,08,870",12.88,12.00,-16.35,75,11.75,12.00,"1,125","25,400.00",150,698.70,723.60,75,187.15,710.00,23.05,"1,920",-354,"1,239",
,"15,697","6,053","2,53,396",13.22,10.20,-12.90,"2,850",9.80,10.45,375,"25,450.00",150,753.25,792.85,150,169.50,748.75,23.42,161,-10,284,
,"90,811","24,228","7,47,902",13.42,8.10,-10.90,225,8.10,8.60,"9,225","25,500.00",300,801.90,814.35,75,190.55,802.50,24.91,"3,463",-558,"3,239",
,"14,156","5,394","1,93,191",13.72,7.25,-7.85,150,7.00,7.30,375,"25,550.00",150,807.85,895.95,150,163.40,846.75,25.27,100,3,171,
,"46,506","12,532","4,30,678",13.96,5.85,-6.15,"1,350",5.85,6.15,"2,475","25,600.00",150,873.65,909.95,150,209.25,912.15,28.15,261,-58,254,
,"20,390","9,325","2,06,723",14.21,5.15,-4.70,75,5.05,5.15,75,"25,650.00",150,901.70,988.75,150,188.25,958.35,28.74,116,4,109,
,"55,922","22,955","4,53,057",14.64,4.45,-3.65,"1,875",4.40,4.45,75,"25,700.00",150,969.65,"1,009.30",300,208.15,"1,007.85",29.70,258,-28,219,
,"12,450","3,309","1,33,360",14.87,4.05,-2.60,525,3.75,4.00,375,"25,750.00",750,999.10,"1,087.05",150,257.50,"1,108.45",36.57,19,-3,41,
,"73,741","22,780","4,36,801",15.34,3.40,-2.05,"2,100",3.40,3.65,750,"25,800.00",150,"1,099.05","1,137.90",75,193.15,"1,099.00",30.56,106,-60,143,
,"12,922","3,339","99,348",15.71,3.20,-1.45,"1,425",3.15,3.20,150,"25,850.00",750,"1,097.10","1,195.70",150,221.05,"1,206.25",38.48,21,-3,55,
,"32,201","5,328","2,69,021",16.02,2.85,-1.25,"3,600",2.60,2.75,225,"25,900.00",150,"1,146.15","1,245.35",750,189.40,"1,198.05",32.36,22,4,87,
,"9,450","-2,138","1,11,967",16.40,2.50,-1.10,"8,250",2.50,2.70,150,"25,950.00",150,"1,194.55","1,304.35",150,251.00,"1,306.45",40.60,6,-,33,
,"1,14,529","-5,860","7,10,898",16.94,2.50,-0.70,"8,550",2.40,2.50,"6,825","26,000.00",75,"1,276.35","1,345.15",75,197.75,"1,295.00",33.82,301,15,633,
,"19,212","-2,337","1,17,884",17.33,2.00,-0.70,"1,500",2.05,2.35,900,"26,050.00",750,"1,291.85","1,402.50",750,241.95,"1,362.75",37.22,9,5,13,
,"37,146","7,731","2,55,149",17.70,2.15,-0.25,"20,175",2.00,2.20,"1,650","26,100.00",150,"1,343.85","1,452.00",150,253.40,"1,453.40",43.32,21,-,58,
,"7,170",-167,"63,898",17.97,1.85,-0.45,"2,250",1.85,2.15,75,"26,150.00",150,"1,391.85","1,504.20",150,-,-,-,-,-,5,
,"36,313","4,645","2,30,617",18.53,1.90,-0.25,375,1.80,1.95,"7,875","26,200.00",750,"1,442.65","1,545.75",150,241.35,"1,553.45",45.32,16,-1,37,
,"6,729","2,308","62,919",19.20,2.25,0.25,75,1.75,1.95,"1,800","26,250.00",150,"1,492.20","1,604.55",150,226.15,"1,566.25",41.47,5,2,16,
